infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
to reduce,reducir,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have reduced,habría reducido,habrías reducido,habría reducido,habríamos reducido,habríais reducido,habrían reducido,reduciendo,reducido
to reduce,reducir,Subjuntivo,Subjunctive,Presente,Present,"I reduce, am reducing",reduzca,reduzcas,reduzca,reduzcamos,reduzcáis,reduzcan,reduciendo,reducido
to reduce,reducir,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I reduced, was reducing",redujera,redujeras,redujera,redujéramos,redujerais,redujeran,reduciendo,reducido
to reduce,reducir,Subjuntivo,Subjunctive,Futuro,Future,I will reduce,redujere,redujeres,redujere,redujéremos,redujereis,redujeren,reduciendo,reducido
to reduce,reducir,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have reduced, reduced",haya reducido,hayas reducido,haya reducido,hayamos reducido,hayáis reducido,hayan reducido,reduciendo,reducido
to reduce,reducir,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have reduced,hubiere reducido,hubieres reducido,hubiere reducido,hubiéremos reducido,hubiereis reducido,hubieren reducido,reduciendo,reducido
to reduce,reducir,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had reduced,hubiera reducido,hubieras reducido,hubiera reducido,hubiéramos reducido,hubierais reducido,hubieran reducido,reduciendo,reducido
to reduce,reducir,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Reduce! Don't reduce!,,reduce,reducid,,reduzca,reduzcan,reduciendo,reducido
to reduce,reducir,Imperativo Negativo,Imperative Negative,Presente,Present,Reduce! Don't reduce!,,no reduzcas,no reduzcáis,,no reduzca,no reduzcan,reduciendo,reducido
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Presente,Present,"I give, am giving",regalo,regalas,regala,regalamos,regaláis,regalan,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Futuro,Future,I will give,regalaré,regalarás,regalará,regalaremos,regalaréis,regalarán,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Imperfecto,Imperfect,"I was giving, used to give, gave",regalaba,regalabas,regalaba,regalábamos,regalabais,regalaban,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Pretérito,Preterite,I gave,regalé,regalaste,regaló,regalamos,regalasteis,regalaron,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Condicional,Conditional,I would give,regalaría,regalarías,regalaría,regalaríamos,regalaríais,regalarían,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have given,he regalado,has regalado,ha regalado,hemos regalado,habéis regalado,han regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have given,habré regalado,habrás regalado,habrá regalado,habremos regalado,habréis regalado,habrán regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had given,había regalado,habías regalado,había regalado,habíamos regalado,habíais regalado,habían regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had given,hube regalado,hubiste regalado,hubo regalado,hubimos regalado,hubisteis regalado,hubieron regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have given,habría regalado,habrías regalado,habría regalado,habríamos regalado,habríais regalado,habrían regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Subjuntivo,Subjunctive,Presente,Present,"I give, am giving",regale,regales,regale,regalemos,regaléis,regalen,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I gave, was giving",regalara,regalaras,regalara,regaláramos,regalarais,regalaran,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Subjuntivo,Subjunctive,Futuro,Future,I will give,regalare,regalares,regalare,regaláremos,regalareis,regalaren,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have given, gave",haya regalado,hayas regalado,haya regalado,hayamos regalado,hayáis regalado,hayan regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have given,hubiere regalado,hubieres regalado,hubiere regalado,hubiéremos regalado,hubiereis regalado,hubieren regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had given,hubiera regalado,hubieras regalado,hubiera regalado,hubiéramos regalado,hubierais regalado,hubieran regalado,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Give! Don't give!,,regala,regalad,,regale,regalen,regalando,regalado
"to give as a gift to present to give away to treat royally, pamper",regalar,Imperativo Negativo,Imperative Negative,Presente,Present,Give! Don't give!,,no regales,no regaléis,,no regale,no regalen,regalando,regalado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Presente,Present,"I water, am watering",riego,riegas,riega,regamos,regáis,riegan,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Futuro,Future,I will water,regaré,regarás,regará,regaremos,regaréis,regarán,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Imperfecto,Imperfect,"I was watering, used to water, watered",regaba,regabas,regaba,regábamos,regabais,regaban,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Pretérito,Preterite,I watered,regué,regaste,regó,regamos,regasteis,regaron,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Condicional,Conditional,I would water,regaría,regarías,regaría,regaríamos,regaríais,regarían,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have watered,he regado,has regado,ha regado,hemos regado,habéis regado,han regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have watered,habré regado,habrás regado,habrá regado,habremos regado,habréis regado,habrán regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had watered,había regado,habías regado,había regado,habíamos regado,habíais regado,habían regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had watered,hube regado,hubiste regado,hubo regado,hubimos regado,hubisteis regado,hubieron regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have watered,habría regado,habrías regado,habría regado,habríamos regado,habríais regado,habrían regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Subjuntivo,Subjunctive,Presente,Present,"I water, am watering",riegue,riegues,riegue,reguemos,reguéis,rieguen,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I water, was watering",regara,regaras,regara,regáramos,regarais,regaran,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Subjuntivo,Subjunctive,Futuro,Future,I will water,regare,regares,regare,regáremos,regareis,regaren,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have watered, watered",haya regado,hayas regado,haya regado,hayamos regado,hayáis regado,hayan regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have watered,hubiere regado,hubieres regado,hubiere regado,hubiéremos regado,hubiereis regado,hubieren regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had watered,hubiera regado,hubieras regado,hubiera regado,hubiéramos regado,hubierais regado,hubieran regado,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Water! Don't water!,,riega,regad,,riegue,rieguen,regando,regado
"to water, irrigate, wash, sprinkle, spray",regar,Imperativo Negativo,Imperative Negative,Presente,Present,Water! Don't water!,,no riegues,no reguéis,,no riegue,no rieguen,regando,regado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Presente,Present,"I haggle, am haggling",regateo,regateas,regatea,regateamos,regateáis,regatean,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Futuro,Future,I will haggle,regatearé,regatearás,regateará,regatearemos,regatearéis,regatearán,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Imperfecto,Imperfect,"I was haggling, used to haggle, haggled",regateaba,regateabas,regateaba,regateábamos,regateabais,regateaban,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Pretérito,Preterite,I haggled,regateé,regateaste,regateó,regateamos,regateasteis,regatearon,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Condicional,Conditional,I would haggle,regatearía,regatearías,regatearía,regatearíamos,regatearíais,regatearían,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Presente perfecto,Present Perfect,I have haggled,he regateado,has regateado,ha regateado,hemos regateado,habéis regateado,han regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have haggled,habré regateado,habrás regateado,habrá regateado,habremos regateado,habréis regateado,habrán regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had haggled,había regateado,habías regateado,había regateado,habíamos regateado,habíais regateado,habían regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had haggled,hube regateado,hubiste regateado,hubo regateado,hubimos regateado,hubisteis regateado,hubieron regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have haggled,habría regateado,habrías regateado,habría regateado,habríamos regateado,habríais regateado,habrían regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Subjuntivo,Subjunctive,Presente,Present,"I haggle, am haggling",regatee,regatees,regatee,regateemos,regateéis,regateen,regateando,regateado
"to haggle (over), bargain (over)",regatear,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I haggled, was haggling",regateara,regatearas,regateara,regateáramos,regatearais,regatearan,regateando,regateado
"to haggle (over), bargain (over)",regatear,Subjuntivo,Subjunctive,Futuro,Future,I will haggle,regateare,regateares,regateare,regateáremos,regateareis,regatearen,regateando,regateado
"to haggle (over), bargain (over)",regatear,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have haggled, haggled",haya regateado,hayas regateado,haya regateado,hayamos regateado,hayáis regateado,hayan regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have haggled,hubiere regateado,hubieres regateado,hubiere regateado,hubiéremos regateado,hubiereis regateado,hubieren regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had haggled,hubiera regateado,hubieras regateado,hubiera regateado,hubiéramos regateado,hubierais regateado,hubieran regateado,regateando,regateado
"to haggle (over), bargain (over)",regatear,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Haggle! Don't haggle!,,regatea,regatead,,regatee,regateen,regateando,regateado
"to haggle (over), bargain (over)",regatear,Imperativo Negativo,Imperative Negative,Presente,Present,Haggle! Don't haggle!,,no regatees,no regateéis,,no regatee,no regateen,regateando,regateado
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Presente,Present,"I rule, am ruling",rijo,riges,rige,regimos,regís,rigen,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Futuro,Future,I will rule,regiré,regirás,regirá,regiremos,regiréis,regirán,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Imperfecto,Imperfect,"I was ruling, used to rule, ruled",regía,regías,regía,regíamos,regíais,regían,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Pretérito,Preterite,I ruled,regí,registe,rigió,regimos,registeis,rigieron,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Condicional,Conditional,I would rule,regiría,regirías,regiría,regiríamos,regiríais,regirían,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Presente perfecto,Present Perfect,I have ruled,he regido,has regido,ha regido,hemos regido,habéis regido,han regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have ruled,habré regido,habrás regido,habrá regido,habremos regido,habréis regido,habrán regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had ruled,había regido,habías regido,había regido,habíamos regido,habíais regido,habían regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had ruled,hube regido,hubiste regido,hubo regido,hubimos regido,hubisteis regido,hubieron regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have ruled,habría regido,habrías regido,habría regido,habríamos regido,habríais regido,habrían regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Subjuntivo,Subjunctive,Presente,Present,"I rule, am ruling",rija,rijas,rija,rijamos,rijáis,rijan,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I ruled, was ruling",rigiera,rigieras,rigiera,rigiéramos,rigierais,rigieran,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Subjuntivo,Subjunctive,Futuro,Future,I will rule,rigiere,rigieres,rigiere,rigiéremos,rigiereis,rigieren,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have ruled, ruled",haya regido,hayas regido,haya regido,hayamos regido,hayáis regido,hayan regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have ruled,hubiere regido,hubieres regido,hubiere regido,hubiéremos regido,hubiereis regido,hubieren regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had ruled,hubiera regido,hubieras regido,hubiera regido,hubiéramos regido,hubierais regido,hubieran regido,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Rule! Don't rule!,,rige,regid,,rija,rijan,rigiendo,regido
"to rule, govern, be in charge of, be at the head of",regir,Imperativo Negativo,Imperative Negative,Presente,Present,Rule! Don't rule!,,no rijas,no rijáis,,no rija,no rijan,rigiendo,regido
"to register, record to search",registrar,Indicativo,Indicative,Presente,Present,"I register, am registering",registro,registras,registra,registramos,registráis,registran,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Futuro,Future,I will register,registraré,registrarás,registrará,registraremos,registraréis,registrarán,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Imperfecto,Imperfect,"I was registering, used to register, registered",registraba,registrabas,registraba,registrábamos,registrabais,registraban,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Pretérito,Preterite,I registered,registré,registraste,registró,registramos,registrasteis,registraron,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Condicional,Conditional,I would register,registraría,registrarías,registraría,registraríamos,registraríais,registrarían,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have registered,he registrado,has registrado,ha registrado,hemos registrado,habéis registrado,han registrado,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have registered,habré registrado,habrás registrado,habrá registrado,habremos registrado,habréis registrado,habrán registrado,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had registered,había registrado,habías registrado,había registrado,habíamos registrado,habíais registrado,habían registrado,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had registered,hube registrado,hubiste registrado,hubo registrado,hubimos registrado,hubisteis registrado,hubieron registrado,registrando,registrado
"to register, record to search",registrar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have registered,habría registrado,habrías registrado,habría registrado,habríamos registrado,habríais registrado,habrían registrado,registrando,registrado
"to register, record to search",registrar,Subjuntivo,Subjunctive,Presente,Present,"I register, am registering",registre,registres,registre,registremos,registréis,registren,registrando,registrado
"to register, record to search",registrar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I registered, was registering",registrara,registraras,registrara,registráramos,registrarais,registraran,registrando,registrado
"to register, record to search",registrar,Subjuntivo,Subjunctive,Futuro,Future,I will register,registrare,registrares,registrare,registráremos,registrareis,registraren,registrando,registrado
"to register, record to search",registrar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have registered, registered",haya registrado,hayas registrado,haya registrado,hayamos registrado,hayáis registrado,hayan registrado,registrando,registrado
"to register, record to search",registrar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have registered,hubiere registrado,hubieres registrado,hubiere registrado,hubiéremos registrado,hubiereis registrado,hubieren registrado,registrando,registrado
"to register, record to search",registrar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had registered,hubiera registrado,hubieras registrado,hubiera registrado,hubiéramos registrado,hubierais registrado,hubieran registrado,registrando,registrado
"to register, record to search",registrar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Register! Don't register!,,registra,registrad,,registre,registren,registrando,registrado
"to register, record to search",registrar,Imperativo Negativo,Imperative Negative,Presente,Present,Register! Don't register!,,no registres,no registréis,,no registre,no registren,registrando,registrado
to register oneself,registrarse,Indicativo,Indicative,Presente,Present,"I register, am registering",me registro,te registras,se registra,nos registramos,os registráis,se registran,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Futuro,Future,I will register,me registraré,te registrarás,se registrará,nos registraremos,os registraréis,se registrarán,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Imperfecto,Imperfect,"I was registering, used to register, registered",me registraba,te registrabas,se registraba,nos registrábamos,os registrabais,se registraban,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Pretérito,Preterite,I registered,me registré,te registraste,se registró,nos registramos,os registrasteis,se registraron,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Condicional,Conditional,I would register,me registraría,te registrarías,se registraría,nos registraríamos,os registraríais,se registrarían,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Presente perfecto,Present Perfect,I have registered,me he registrado,te has registrado,se ha registrado,nos hemos registrado,os habéis registrado,se han registrado,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have registered,me habré registrado,te habrás registrado,se habrá registrado,nos habremos registrado,os habréis registrado,se habrán registrado,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had registered,me había registrado,te habías registrado,se había registrado,nos habíamos registrado,os habíais registrado,se habían registrado,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had registered,me hube registrado,te hubiste registrado,se hubo registrado,nos hubimos registrado,os hubisteis registrado,se hubieron registrado,registrándose,registrado
to register oneself,registrarse,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have registered,me habría registrado,te habrías registrado,se habría registrado,nos habríamos registrado,os habríais registrado,se habrían registrado,registrándose,registrado
to register oneself,registrarse,Subjuntivo,Subjunctive,Presente,Present,"I register, am registering",me registre,te registres,se registre,nos registremos,os registréis,se registren,registrándose,registrado
to register oneself,registrarse,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I registered, was registering",me registrara,te registraras,se registrara,nos registráramos,os registrarais,se registraran,registrándose,registrado
to register oneself,registrarse,Subjuntivo,Subjunctive,Futuro,Future,I will register,me registrare,te registrares,se registrare,nos registráremos,os registrareis,se registraren,registrándose,registrado
to register oneself,registrarse,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have registered, registered",me haya registrado,te hayas registrado,se haya registrado,nos hayamos registrado,os hayáis registrado,se hayan registrado,registrándose,registrado
to register oneself,registrarse,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have registered,me hubiere registrado,te hubieres registrado,se hubiere registrado,nos hubiéremos registrado,os hubiereis registrado,se hubieren registrado,registrándose,registrado
to register oneself,registrarse,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had registered,me hubiera registrado,te hubieras registrado,se hubiera registrado,nos hubiéramos registrado,os hubierais registrado,se hubieran registrado,registrándose,registrado
to register oneself,registrarse,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Register! Don't register!,,regístrate,registraos,,regístrese,regístrense,registrándose,registrado
to register oneself,registrarse,Imperativo Negativo,Imperative Negative,Presente,Present,Register! Don't register!,,no te registres,no os registréis,,no se registre,no se registren,registrándose,registrado
"to return, go back",regresar,Indicativo,Indicative,Presente,Present,"I return, am returning",regreso,regresas,regresa,regresamos,regresáis,regresan,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Futuro,Future,I will return,regresaré,regresarás,regresará,regresaremos,regresaréis,regresarán,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Imperfecto,Imperfect,"I was returning, used to return, returned",regresaba,regresabas,regresaba,regresábamos,regresabais,regresaban,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Pretérito,Preterite,I returned,regresé,regresaste,regresó,regresamos,regresasteis,regresaron,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Condicional,Conditional,I would return,regresaría,regresarías,regresaría,regresaríamos,regresaríais,regresarían,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have returned,he regresado,has regresado,ha regresado,hemos regresado,habéis regresado,han regresado,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have returned,habré regresado,habrás regresado,habrá regresado,habremos regresado,habréis regresado,habrán regresado,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had returned,había regresado,habías regresado,había regresado,habíamos regresado,habíais regresado,habían regresado,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had returned,hube regresado,hubiste regresado,hubo regresado,hubimos regresado,hubisteis regresado,hubieron regresado,regresando,regresado
"to return, go back",regresar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have returned,habría regresado,habrías regresado,habría regresado,habríamos regresado,habríais regresado,habrían regresado,regresando,regresado
"to return, go back",regresar,Subjuntivo,Subjunctive,Presente,Present,"I return, am returning",regrese,regreses,regrese,regresemos,regreséis,regresen,regresando,regresado
"to return, go back",regresar,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I returned, was returning",regresara,regresaras,regresara,regresáramos,regresarais,regresaran,regresando,regresado
"to return, go back",regresar,Subjuntivo,Subjunctive,Futuro,Future,I will return,regresare,regresares,regresare,regresáremos,regresareis,regresaren,regresando,regresado
"to return, go back",regresar,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have returned, returned",haya regresado,hayas regresado,haya regresado,hayamos regresado,hayáis regresado,hayan regresado,regresando,regresado
"to return, go back",regresar,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have returned,hubiere regresado,hubieres regresado,hubiere regresado,hubiéremos regresado,hubiereis regresado,hubieren regresado,regresando,regresado
"to return, go back",regresar,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had returned,hubiera regresado,hubieras regresado,hubiera regresado,hubiéramos regresado,hubierais regresado,hubieran regresado,regresando,regresado
"to return, go back",regresar,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,Return! Don't return!,,regresa,regresad,,regrese,regresen,regresando,regresado
"to return, go back",regresar,Imperativo Negativo,Imperative Negative,Presente,Present,Return! Don't return!,,no regreses,no regreséis,,no regrese,no regresen,regresando,regresado
"to regulate, adjust, control",regular,Indicativo,Indicative,Presente,Present,"I regulate, am regulating",regulo,regulas,regula,regulamos,reguláis,regulan,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Futuro,Future,I will regulate,regularé,regularás,regulará,regularemos,regularéis,regularán,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Imperfecto,Imperfect,"I was regulating, used to regulate, regulated",regulaba,regulabas,regulaba,regulábamos,regulabais,regulaban,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Pretérito,Preterite,I regulated,regulé,regulaste,reguló,regulamos,regulasteis,regularon,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Condicional,Conditional,I would regulate,regularía,regularías,regularía,regularíamos,regularíais,regularían,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Presente perfecto,Present Perfect,I have regulated,he regulado,has regulado,ha regulado,hemos regulado,habéis regulado,han regulado,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have regulated,habré regulado,habrás regulado,habrá regulado,habremos regulado,habréis regulado,habrán regulado,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had regulated,había regulado,habías regulado,había regulado,habíamos regulado,habíais regulado,habían regulado,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had regulated,hube regulado,hubiste regulado,hubo regulado,hubimos regulado,hubisteis regulado,hubieron regulado,regulando,regulado
"to regulate, adjust, control",regular,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have regulated,habría regulado,habrías regulado,habría regulado,habríamos regulado,habríais regulado,habrían regulado,regulando,regulado
"to regulate, adjust, control",regular,Subjuntivo,Subjunctive,Presente,Present,"I regulate, am regulating",regule,regules,regule,regulemos,reguléis,regulen,regulando,regulado
"to regulate, adjust, control",regular,Subjuntivo,Subjunctive,Imperfecto,Imperfect,"I regulated, was regulating",regulara,regularas,regulara,reguláramos,regularais,regularan,regulando,regulado
"to regulate, adjust, control",regular,Subjuntivo,Subjunctive,Futuro,Future,I will regulate,regulare,regulares,regulare,reguláremos,regulareis,regularen,regulando,regulado
"to regulate, adjust, control",regular,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,"I have regulated, regulated",haya regulado,hayas regulado,haya regulado,hayamos regulado,hayáis regulado,hayan regulado,regulando,regulado
"to regulate, adjust, control",regular,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,I will have regulated,hubiere regulado,hubieres regulado,hubiere regulado,hubiéremos regulado,hubiereis regulado,hubieren regulado,regulando,regulado
"to regulate, adjust, control",regular,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,I had regulated,hubiera regulado,hubieras regulado,hubiera regulado,hubiéramos regulado,hubierais regulado,hubieran regulado,regulando,regulado
